reference,fabricant,puissance_w,largeur_m,hauteur_m,uoc_v,isc_a,umpp_v,impp_a,coef_tension_pct_c
PV-BIFACIAL-500,Exemple,500.0,1.134,1.95,45.6,13.9,38.2,13.1,-0.29
PV-HET-410,Exemple,410.0,1.04,1.755,50.0,10.5,42.0,9.76,-0.24
PV-MONO-430,Exemple,430.0,1.134,1.722,39.8,13.7,33.1,13.0,-0.28
PV-MONO-455,Exemple,455.0,1.134,1.762,41.2,14.0,34.5,13.2,-0.28
JKM580N-72HL4-BDV,Jinko Solar,580.0,1.134,2.278,51.47,14.37,42.59,13.62,-0.25
LR7-60HVH-560M,LONGi,560.0,1.134,1.99,45.28,15.65,37.51,14.93,-0.2
TSM-425NEG9R.25,Trina Solar,425.0,1.134,1.762,50.9,10.56,42.9,9.92,-0.24
TSM-430NEG9R.25,Trina Solar,430.0,1.134,1.762,51.4,10.59,43.2,9.96,-0.24
TSM-435NEG9R.25,Trina Solar,435.0,1.134,1.762,51.8,10.64,43.6,9.99,-0.24
TSM-440NEG9R.25,Trina Solar,440.0,1.134,1.762,52.2,10.67,44.0,10.01,-0.24
TSM-445NEG9R.25,Trina Solar,445.0,1.134,1.762,52.6,10.71,44.3,10.05,-0.24
TSM-450NEG9R.25,Trina Solar,450.0,1.134,1.762,52.9,10.74,44.6,10.09,-0.24
JKM435N-54HL4R-B,jinko,435.0,1.134,1.762,39.36,13.72,32.78,13.27,-0.25
